id,created_by,created_date,updated_by,updated_date,comment,company_name,email,full_name,job_title,mobile_phone,status,work_phone,user_id
02b6e091-53ab-41f2-8a28-40d199c227c0,dd272510-abea-4d7c-989b-4bce3091cca2,2023-08-24 05:34:13,dd272510-abea-4d7c-989b-4bce3091cca2,2023-08-24 05:34:13,NULL,Narola,nun.narola@gmail.com,Dinesh,SDE,9198247515,APPROVED,9198247515,dd272510-abea-4d7c-989b-4bce3091cca2
038fe3a7-7137-4143-a093-331770216f61,647a3680-2bbf-4dd2-8fd8-604be4a7a09d,2024-07-03 10:30:26,NULL,2024-08-08 10:50:26,NULL,test,sweta879@gmail.com,Teet,test,,REJECTED,,647a3680-2bbf-4dd2-8fd8-604be4a7a09d
03c641e7-5c3a-4e31-a771-b564258be823,159430f6-743d-4d53-b3fb-0a18f95a7f2e,2024-03-29 04:44:39,159430f6-743d-4d53-b3fb-0a18f95a7f2e,2024-03-29 04:44:39,NULL,NAROLA INFOTECH,payalp25g07@gmail.com,NAROLA INFOTECH,payalp2507@gmail.com,0635268769,APPROVED,0635268769,159430f6-743d-4d53-b3fb-0a18f95a7f2e
040bd2c3-a6e9-4bd9-8d07-add01621dd8c,afec7c30-aba6-47b6-b5b6-e98f07f34f82,2025-04-17 05:03:30,afec7c30-aba6-47b6-b5b6-e98f07f34f82,2025-04-17 05:03:30,NULL,narola,prp111@narola.email,narola,prp111@narola.email,111111111111,APPROVED,111111111111,afec7c30-aba6-47b6-b5b6-e98f07f34f82
052bd397-e4f0-444c-8bd1-827b70845053,b620ff42-4844-4443-be24-3e72f1e9dd32,2025-04-17 10:34:29,b620ff42-4844-4443-be24-3e72f1e9dd32,2025-04-17 10:34:29,NULL,BlueSky Renewables​,vgb@narola.email,Carter Johnson,Sustainable Systems Designer​,6175550567,APPROVED,3035550789,b620ff42-4844-4443-be24-3e72f1e9dd32
09134e78-cceb-4d62-a118-dd58862a0a99,dd272510-abea-4d7c-989b-4bce3091cca2,2023-08-24 05:33:57,dd272510-abea-4d7c-989b-4bce3091cca2,2023-08-24 05:33:57,NULL,Narola,nun.narola@gmail.com,Ramesh,SDE,9198247515,APPROVED,9198247515,dd272510-abea-4d7c-989b-4bce3091cca2
09887823-fe89-4774-b39c-32fb5e8ba352,159430f6-743d-4d53-b3fb-0a18f95a7f2e,2024-03-29 04:44:48,159430f6-743d-4d53-b3fb-0a18f95a7f2e,2024-03-29 04:44:48,NULL,NAROLA INFOTECH,payalp2frg507@gmail.com,NAROLA INFOTECH,payalp2507@gmail.com,0635268769,APPROVED,0635268769,159430f6-743d-4d53-b3fb-0a18f95a7f2e
09b54330-46a8-421d-a371-d0a047f3d9fa,4ff1f163-f4e9-4cbe-841b-0395e1658396,2023-08-21 06:52:52,4ff1f163-f4e9-4cbe-841b-0395e1658396,2023-08-21 06:52:52,NULL,Narola,nun.narola@gmail.com,Rajesh,SDE,9198247515,APPROVED,9198247515,4ff1f163-f4e9-4cbe-841b-0395e1658396
0a78b678-5e91-4875-acba-70343eb78084,5d105d8b-e659-4041-8060-57ebe5630460,2024-03-28 13:52:02,5d105d8b-e659-4041-8060-57ebe5630460,2024-03-28 13:52:02,NULL,NAROLA INFOTECH,payalp25017@gmail.com,NAROLA INFOTECH,payalp2507@gmail.com,0635268769,APPROVED,0635268769,5d105d8b-e659-4041-8060-57ebe5630460
0b095cca-787a-46f3-9cfa-f356fe0011ef,1ec5afe3-043f-45dd-8f4c-7a84d55db398,2023-11-22 06:29:38,1ec5afe3-043f-45dd-8f4c-7a84d55db398,2023-11-22 06:29:38,NULL,Narola,nun.narola@gmail.com,Rakesh,SDE,9198247515,APPROVED,9198247515,1ec5afe3-043f-45dd-8f4c-7a84d55db398
0c15c47a-b893-4d97-b9c1-dcbd251a3a86,69f2dc21-c175-4956-8731-c1266ec90d98,2025-04-15 06:14:06,69f2dc21-c175-4956-8731-c1266ec90d98,2025-04-15 06:14:06,NULL,NISL,hsz@yopmail.com,Hitesh,Programmer,1234567891,APPROVED,1234567891,69f2dc21-c175-4956-8731-c1266ec90d98
0d2778c8-637e-435f-95e2-5318edfdcc74,51489176-6528-4845-992d-596b0d2b0138,2025-04-18 04:16:52,51489176-6528-4845-992d-596b0d2b0138,2025-04-18 04:16:52,NULL,narola,prp111@narola.email,narola,prp111@narola.email,111111111111,APPROVED,111111111111,51489176-6528-4845-992d-596b0d2b0138
0d38426c-2ed1-4f97-a5ae-dd839b0f6e38,00396ad8-b0f1-481e-bdcc-016bf5344ac2,2025-04-28 11:24:59,00396ad8-b0f1-481e-bdcc-016bf5344ac2,2025-04-28 11:24:59,NULL,BrightWave Technologies,olivia.martinez@brightwave.com,Olivia Martinez,Senior Marketing Manager,9175550432,APPROVED,2125550187,00396ad8-b0f1-481e-bdcc-016bf5344ac2
1121a635-1d47-4271-93a2-4e7d14d25ded,22085403-2511-4edd-afaa-ae4d63e220c2,2024-02-29 13:09:23,22085403-2511-4edd-afaa-ae4d63e220c2,2024-02-29 13:09:23,NULL,ppp,vgb4@narola.email,ppp,payalp2507@gmail.com,0111111111,APPROVED,0111111111,22085403-2511-4edd-afaa-ae4d63e220c2
118c8b6a-8e66-44da-aea7-bb31f54e1ec6,0c36a187-4358-49d8-96da-a03c74687490,2024-04-02 05:59:16,0c36a187-4358-49d8-96da-a03c74687490,2024-04-02 05:59:16,NULL,ppp,payealp2507@gmail.com,ppp,payalp2507@gmail.com,0635268769,APPROVED,0635268769,0c36a187-4358-49d8-96da-a03c74687490
12965491-f77e-42f5-b1c3-ee1282011755,4a5d5957-632c-43b9-979c-6a3c384f4e13,2024-02-29 04:39:52,4a5d5957-632c-43b9-979c-6a3c384f4e13,2024-02-29 04:39:52,NULL,trgft,newtestworker@gmail.com,pp,jikm,4111111111,APPROVED,4111111111,4a5d5957-632c-43b9-979c-6a3c384f4e13
1390b28d-99eb-41ad-8f56-e2e43227397f,9e11456c-f0f6-48c7-9cbf-6f4447379727,2022-01-07 16:42:02,9e11456c-f0f6-48c7-9cbf-6f4447379727,2022-01-07 16:42:02,NULL,Iconic Renewables,dawn.marsico@iconicrenewables.com,Dawn Marsico ,Project Manager,,APPROVED,,9e11456c-f0f6-48c7-9cbf-6f4447379727
147cac4d-537e-4e5c-a1ed-d1c910953928,44915c19-af43-4341-a5d6-c8dda2695585,2023-11-23 11:04:55,44915c19-af43-4341-a5d6-c8dda2695585,2023-11-23 11:04:55,NULL,Narola,nun@narola.email,Dinesh,SDE,9723482684,APPROVED,9723482684,44915c19-af43-4341-a5d6-c8dda2695585
16836f44-f33c-440b-800d-f3d10e3a4790,76211607-56c2-4164-945e-598a719b7574,2025-04-15 06:42:04,76211607-56c2-4164-945e-598a719b7574,2025-04-15 06:42:04,NULL,prp tets,pr1p@narola.email,prp tets,test,1111111111,APPROVED,1111111111,76211607-56c2-4164-945e-598a719b7574
1d2e1ccc-58ea-4faf-bb0e-90ae6a9737e8,5d105d8b-e659-4041-8060-57ebe5630460,2024-03-28 13:52:13,5d105d8b-e659-4041-8060-57ebe5630460,2024-03-28 13:52:13,NULL,NAROLA INFOTECH,payalp112507@gmail.com,NAROLA INFOTECH,payalp2507@gmail.com,0635268769,APPROVED,0635268769,5d105d8b-e659-4041-8060-57ebe5630460
